Assigned,Name ,Type,Abstract,Notes,URL,How dataset constructed,Activities defined,How are activities marked,Any data cleaning,Other data relevant to activity recognition,Misc notes
,,,"""NTU RGB+D 120"" extends ""NTU RGB+D"" by adding another 60 classes and another 57,600 video samples, i.e., ""NTU RGB+D 120"" has 120 classes and 114,480 samples in total.",,,,,,,,
,,,"These two datasets both contain RGB videos, depth map sequences, 3D skeletal data, and infrared (IR) videos for each sample. Each dataset is captured by three Kinect V2 cameras concurrently.",,,,,,,,
,,,"The resolutions of RGB videos are 1920x1080, depth maps and IR videos are all in 512x424, and 3D skeletal data contains the 3D coordinates of 25 body joints at each frame.",,,,,,,,
dora,Breakfast: A Large-Scale Database for Video Understanding,Dataset,"Breakfast dataset contains videos of people preparing breakfast in uncontrolled environments. Activities are defined and labeled based on cooking actions and interactions with kitchen objects. Annotations include timestamps for activity segments, with transitions between activities annotated.",,https://serre-lab.clps.brown.edu/resource/breakfast-actions-dataset/,"10 actions performed by 52 individuals in 18 kitchens, between 3-5 cameras per session, meant to capture realistic natural action rather than lab environment type, videos normalized to consistent FPS and pixels,",10 activities total:,"annotated as coarse actions and ""silence"" samples","doesn't look like it, actions saved as coarse actions and in between moments as ""silence"" in dataset",interesting idea to use speech recognition techniques applied to video data for activity recognition,
,,,,,https://serre-lab.clps.brown.edu/wp-content/uploads/2014/05/paper_cameraReady-2.pdf,"actors were not scripted or directed, just handed a recipe and told to prepare the listed food item(s)",preparation of:,coarse actions are made up of a series of finer actions that often take place in different orders for different participants,,,
,,,,,,,1. coffee,"""silence"" samples are the moments in between coarse actions",,,
,,,,,,,2. orange juice,,,,
,,,,,,,3. chocolate milk,,,,
,,,,,,,4. tea,,,,
,,,,,,,5. cereal,,,,
,,,,,,,6. fried eggs,,,,
,,,,,,,7. pancakes,,,,
,,,,,,,8. fruit salad,,,,
,,,,,,,9. sandwich,,,,
,,,,,,,10. scrambled eggs,,,,
dora,"The EPIC-KITCHENS Dataset: Collection, Challenges and Baselines",Dataset,"Provides a comprehensive overview of the EPIC-KITCHENS dataset, focusing on egocentric video understanding. Activities are annotated with both action labels and object interactions. Annotations include timestamps and temporal duration, aiding in understanding activity boundaries and transitions.",,https://epic-kitchens.github.io/2018,"first-person headcam recordings, non-scripted actors in their own kitchens, annotated using live audio feed, across 32 kitchens in 4 cities, actors wear headcam whenever they go to work in the kitchen","almost 40k action segments, massive number of actions defined, also defines objects and object interactions in addition to actions, defines actions with combos of verb and noun classes","activities are marked based on the audio commentary,",not discussed -- seems researchers kept all video data and annotated relevant clips with time stamps,"actions were annotated based on the narration of the actor, as they are the expert on what they are doing, but were quality checked by a team of annotators and then confirmed via random sampling and manual viewing by the research team",
,,,,,https://arxiv.org/pdf/1804.02748.pdf,,,"the actor will narrate their action (""i'm opening miso paste"") and the action is identified based on the key words given (open, paste)",,,
,,,,,,"""55hrs of recording, densely annotated",,,,,
,,,,,,"with start/end times for each action/interaction, as well as bounding boxes",,,,,
,,,,,,"around objects subject to interaction""",,,,,
iman,ActivityNet: A Large-Scale Video Benchmark for Human Activity Understanding,Dataset,"Activities are annotated with timestamps, indicating the start and end times of each activity instance. Activities in ActivityNet are defined and labeled based on a hierarchical structure with multiple levels of granularity. The dataset contains annotations for activities as well as ""in between"" segments, allowing for a more comprehensive understanding of video content.",,https://ieeexplore.ieee.org/document/7298698,"They heavily rely on the crowd and specifically, Amazon Mechanical Turk, to help acquire and annotate ActivityNet. Our acquisition pipeline has three main steps: Collection, Filtering, and Temporal Localization.","ActivityNet provides samples from 203 activity classes with an average of 137 untrimmed videos per class and 1.41 activity instances per video, for a total of 849 video hours. ",The videos are mually trimmed.,,,
iman,UCF101 ,Dataset,"We introduce UCF101 which is currently the largest dataset of human actions. It consists of 101 action classes, over 13k clips and 27 hours of video data. The database consists of realistic user-uploaded videos containing camera motion and cluttered background. Additionally, we provide baseline action recognition results on this new dataset using standard bag of words approach with overall performance of 43.9%. To the best of our knowledge, UCF101 is currently the most challenging dataset of actions due to its large number of classes, large number of clips and also unconstrained nature of such clips.",,https://www.crcv.ucf.edu/papers/UCF101_CRCV-TR-12-01.pdf,This benchmark dataset was collected from Youtube videos,"There are 101 action categories defined from 13320 videos. It is the largest in terms of diversity of actions.  The action categories for UCF101 data set are: Apply Eye Makeup, Apply Lipstick, Archery, Baby Crawling, Balance Beam, Band Marching, Baseball Pitch, Basketball Shooting, Basketball Dunk, Bench Press, Biking, Billiards Shot, Blow Dry Hair, Blowing Candles, Body Weight Squats, Bowling, Boxing Punching Bag, Boxing Speed Bag, Breaststroke, Brushing Teeth, Clean and Jerk, Cliff Diving, Cricket Bowling, Cricket Shot, Cutting In Kitchen, Diving, Drumming, Fencing, Field Hockey Penalty, Floor Gymnastics, Frisbee Catch, Front Crawl, Golf Swing, Haircut, Hammer Throw, Hammering, Handstand Pushups, Handstand Walking, Head Massage, High Jump, Horse Race, Horse Riding, Hula Hoop, Ice Dancing, Javelin Throw, Juggling Balls, Jump Rope, Jumping Jack, Kayaking, Knitting, Long Jump, Lunges, Military Parade, Mixing Batter, Mopping Floor, Nun chucks, Parallel Bars, Pizza Tossing, Playing Guitar, Playing Piano, Playing Tabla, Playing Violin, Playing Cello, Playing Daf, Playing Dhol, Playing Flute, Playing Sitar, Pole Vault, Pommel Horse, Pull Ups, Punch, Push Ups, Rafting, Rock Climbing Indoor, Rope Climbing, Rowing, Salsa Spins, Shaving Beard, Shotput, Skate Boarding, Skiing, Skijet, Sky Diving, Soccer Juggling, Soccer Penalty, Still Rings, Sumo Wrestling, Surfing, Swing, Table Tennis Shot, Tai Chi, Tennis Swing, Throw Discus, Trampoline Jumping, Typing, Uneven Bars, Volleyball Spiking, Walking with a dog, Wall Pushups, Writing On Board, Yo Yo.",They use a Sequential Bag of Words technique,The videos are downloaded from YouTube  and the,,
,,,,,,,,,irrelevant ones are manually removed. All clips have fixed,,
,,,,,,,,,frame rate and resolution of 25 FPS and 320 × 240 respectively. The videos are saved in .avi files compressed using DivX codec available in k-lite package [1]. The audio,,
,,,,,,,,,is preserved for the clips of the new 51 actions.,,
,MPII Cooking Activities,Dataset,"This dataset focuses on cooking activities, captured from egocentric viewpoints. Activities are defined and labeled based on cooking actions and object interactions. Annotations include timestamps for activity segments, with transitions between activities marked to delineate boundaries.",,,,,,,,
,The Kinetics Human Action Video Dataset,Dataset,"We describe the DeepMind Kinetics human action video dataset. The dataset contains 400 human action classes, with at least 400 video clips for each action. Each clip lasts around 10s and is taken from a different YouTube video. The actions are human focussed and cover a broad range of classes including human-object interactions such as playing instruments, as well as human-human interactions such as shaking hands. We describe the statistics of the dataset, how it was collected, and give some baseline performance figures for neural network architectures trained and tested for human action classification on this dataset. We also carry out a preliminary analysis of whether imbalance in the dataset leads to bias in the classifiers.",,https://arxiv.org/abs/1705.06950,,,,,,
,Epic-Kitchens: A Dataset for Egocentric Video Understanding,Dataset,"Epic-Kitchens dataset captures daily activities from the perspective of individuals wearing egocentric cameras. Activities are defined and labeled with action verbs and object interactions. Annotations include timestamps for activity instances, with detailed descriptions of each action performed.",,,,,,,,
siv,THUMOS Challenge: Action Recognition with a Large Number of Classes,Dataset,"Activities in the THUMOS dataset are defined and labeled with a large number of action classes. Annotations include timestamps for the start and end of each activity instance, allowing precise localization within videos. Criteria for defining activity boundaries are based on human judgment, considering temporal and spatial context within videos.",,https://www.crcv.ucf.edu/THUMOS14/home.html,Dataset has action recognition and temporal action detection tasks and contains 4 parts:,101 human action categories,"Activities are marked based on the presence or absence of specific action classes in test videos, alongside a confidence score.",No reference of data cleaning,defining evaluation metric for the tasks for precise task recognization,
,,,,,,Training Data,(https://www.crcv.ucf.edu/THUMOS14/Class%20Index.txt),"For the Action Recognition task, each test video's prediction involves outputting a real-valued score indicating the confidence of the predicted presence of the action class within the video. In contrast, for the",,,
,,,,,,Validation Data,,"Temporal Action Detection task, the prediction not only involves the presence of the action class but also its temporal localization, i.e., the starting and ending times of each detected instance. Ground truth annotations for the temporal locations of action instances are provided for validation videos evaluation. ",,,
,,,,,,Background data,,,,,
,,,,,,Test Data,,,,,
,,,,,,,,,,,
,,,,,,"The training data comprises the entire UCF101 action dataset for action recognition, encompassing 101 human action categories with 13,320 temporally trimmed videos, while for temporal action detection, a subset of the UCF101 action dataset with 20 action classes is utilized, with the option to incorporate the remaining action classes if necessary.",,,,,
,,,,,," In the validation phase, 1,000 videos are allocated for action recognition, each action class having precisely 10 videos, accompanied by video-level label information indicating primary and secondary actions, albeit all videos remain temporally untrimmed. For temporal action detection, 200 videos from 20 action classes serve as validation data, featuring temporal annotations detailing the start and end times of action instances.",,,,,
,,,,,," Background data, totaling 2,500 videos exclude instances of any of the 101 or 20 action classes, depending on the task, with each background video pertinent to an action class andthe primary class for reference.",,,,,
,,,,,,"Test data has 1,574 temporally untrimmed videos for both action and temporal recognization, which may include instances of one or multiple action classes or none at all.",,,,,
siv,Activity Recognition in the Home Using Simple and Ubiquitous Sensors,Dataset,"This paper presents a dataset constructed using simple and ubiquitous sensors deployed in home environments. Activities are defined and labeled based on sensor readings and human observations. Annotations include timestamps for activities as well as transitions between activities, providing detailed temporal information.",,https://courses.media.mit.edu/2004fall/mas622j/04.projects/home/TapiaIntilleLarson04.pdf,"Data collection methods includes video recordings of tutoring sessions, audio recordings, transcripts of verbal interactions, observational notes, surveys, and questionnaires to capture both qualitative and quantitative data about the tutoring context, learner behavior, and tutor behavior.",Tutoring Activities,Bayesian classifiers were used to detect activities using,No reference of data cleaning,Activity recognition system architecture:,
,,,,,,,Learning Activities,the tape-on sensor system,,The proposed system consists of three major components: (1) The environmental,
,,,,,,,,,,state-change sensors used to collect information about use of objects in the,
,,,,,,,,,,"environment, (2) the context-aware experience sampling tool (ESM) used by the",
,,,,,,,,,,"end user to label his or her own activities, and (3) the pattern recognition and",
,,,,,,,,,,classification algorithms for recognizing activities after constructing a model,
,,,,,,,,,,based on a training set.,
,AVA: A Video Dataset of Spatio-temporally Localized Atomic Visual Actions,Dataset,AVA dataset focuses on spatio-temporally localized atomic visual actions in videos. Activities are labeled with atomic action labels localized both spatially and temporally. Annotations provide precise temporal information about action instances.,,,,,,,,
suraj,Charades: A Large-Scale Dataset for Video Understanding,Dataset,"Charades dataset comprises real-world activities performed by actors in unscripted environments. Activities are defined and labeled with free-form natural language descriptions. Annotations include timestamps for activity start and end points, providing temporal localization within videos.",,https://arxiv.org/abs/1804.09626,Recruited crowd workers over the internet to self record 1st person and 3rd person actions with a given script. 80/20 split. 8.72 activities per video on avg.,Scripts come from the Charades dataset.,Script is provided to workers,not mentioned,"although actions are the same, 1st person and 3rd person actions are picked up differently.","For 1st person, users had option to hold the camera on their forehead or create a head mount. One arm vs Two arms. Latter option had a monetary incentive. $.50 bonus"
,Something-Else: Compositional Action Recognition with Spatial-Temporal Interaction Networks,Dataset,"Introduces the Something-Else dataset for compositional action recognition. Activities are defined based on the interactions between objects and human poses. Annotations include temporal localization of actions, focusing on spatial-temporal interactions.",,,,,,,,
suraj,Moments in Time Dataset: one million videos for event understanding,Dataset,"Moments in Time dataset provides a large-scale collection of videos for event understanding. Activities are annotated with temporal segments and descriptive labels. Annotations capture a diverse range of events, providing insights into everyday activities.",,https://arxiv.org/abs/1801.03150,"one million short videos each with a label corresponding, to an event unfolding in 3 seconds -- avg duration of human memory","opening various things, closing various things",Each video is tagged with one action or activity label among 339 different classes),background clutter mentioned but no cleaning,Compound activities that occur at longer time scales can be represented by sequences of three second actions (e.g.,
,,,,,,,,,,agent and scene),
